member_id,index_number,name,membership_type,registered_date
1,2025632510,Ama Yakubu,STUDENT,2025-09-28
2,2023198695,Yaw Nartey,STUDENT,2023-09-15
3,2025574999,Ama Boateng,STUDENT,2025-09-21
4,2022162443,Yaw Mensah,STUDENT,2022-09-02
5,2024561930,Akosua Yakubu,STUDENT,2024-09-19
6,2025104816,Kofi Lamptey,STUDENT,2025-09-22
7,2022842192,Akua Obeng,STUDENT,2022-09-09
8,2022690497,Abena Owusu,STUDENT,2022-09-25
9,2022117710,Abena Alhassan,STUDENT,2022-09-28
10,2025843334,Kwasi Nartey,STUDENT,2025-09-13
11,2024191377,Adwoa Ashong,STUDENT,2024-09-10
12,2023841360,Efua Agyeman,STUDENT,2023-09-04
13,2023569158,Akua Sarpong,STUDENT,2023-09-17
14,2025222167,Adwoa Iddrisu,STUDENT,2025-09-13
15,2024120584,Abena Amponsah,STUDENT,2024-09-07
16,2023323601,Efua Boateng,STUDENT,2023-09-15
17,2025176963,Sena Lamptey,STUDENT,2025-09-03
18,2024489759,Adwoa Mensah,STUDENT,2024-09-20
19,2023504852,Godfred Danso,STUDENT,2023-09-06
20,2023266173,Kwadwo Kusi,STUDENT,2023-09-24
21,2025732851,Kofi Alhassan,STUDENT,2025-09-03
22,2024349988,Akosua Bonsu,STUDENT,2024-09-24
23,2024645337,Kwame Odame,STUDENT,2024-09-06
24,2025686538,Araba Gyasi,STUDENT,2025-09-21
25,2023885367,Kwabena Ansah,STUDENT,2023-09-01
26,2022284815,Adwoa Asante,STUDENT,2022-09-10
27,2024245131,Adwoa Osei,STUDENT,2024-09-15
28,2023718529,Kofi Acheampong,STUDENT,2023-09-02
29,2022122291,Kwabena Ablorh,STUDENT,2022-09-20
30,2024243241,Kofi Ablorh,STUDENT,2024-09-03
31,2023931800,Afua Boateng,STUDENT,2023-09-11
32,2022624210,Akosua Iddrisu,STUDENT,2022-09-19
33,2022738443,Akua Amponsah,STUDENT,2022-09-03
34,2024507305,Abena Iddrisu,STUDENT,2024-09-24
35,2022643893,Kwaku Twum,STUDENT,2022-09-25
36,2022341404,Kwasi Nartey,STUDENT,2022-09-23
37,2022485824,Godfred Tetteh,STUDENT,2022-09-10
38,2024792049,Yaa Appiah,STUDENT,2024-09-15
39,2023764978,Akua Tetteh,STUDENT,2023-09-14
40,2025330243,Elikem Ansah,STUDENT,2025-09-19
41,2024977758,Kwadwo Odame,STUDENT,2024-09-28
42,2022572540,Abena Appiah,STUDENT,2022-09-16
43,2025804797,Akua Alhassan,STUDENT,2025-09-11
44,2022968983,Priscilla Adjetey,STUDENT,2022-09-02
45,2024424041,Afua Ashong,STUDENT,2024-09-21
46,2025299143,Kwadwo Mahama,STUDENT,2025-09-01
47,2022759743,Kwame Antwi,STUDENT,2022-09-04
48,2022817742,Afua Attah,STUDENT,2022-09-07
49,2025660829,Adwoa Mensah,STUDENT,2025-09-23
50,2023512631,Ama Quaye,STUDENT,2023-09-28
51,2025236220,Esi Iddrisu,STUDENT,2025-09-15
52,2024586232,Akosua Alhassan,STUDENT,2024-09-11
53,2023354061,Kofi Frimpong,STUDENT,2023-09-13
54,2022465436,Sena Tetteh,STUDENT,2022-09-17
55,2024611125,Yaa Iddrisu,STUDENT,2024-09-01
56,2023659018,Gifty Boateng,STUDENT,2023-09-11
57,2025616508,Godfred Antwi,STUDENT,2025-09-19
58,2024971534,Kwadwo Fuseini,STUDENT,2024-09-24
59,2024426838,Yaw Obeng,STUDENT,2024-09-22
60,2023671171,Elikem Ablorh,STUDENT,2023-09-17
61,2022627616,Akua Twum,STUDENT,2022-09-01
62,2025670421,Kwasi Acheampong,STUDENT,2025-09-26
63,2022664884,Kwasi Appiah,STUDENT,2022-09-15
64,2023596145,Comfort Ashong,STUDENT,2023-09-16
65,2024213889,Ama Nartey,STUDENT,2024-09-07
66,2022137355,Abena Agyeman,STUDENT,2022-09-07
67,2024356341,Abena Adjetey,STUDENT,2024-09-20
68,2024852559,Yaa Frimpong,STUDENT,2024-09-07
69,2025965263,Nana Alhassan,STUDENT,2025-09-17
70,2023655345,Kwame Twum,STUDENT,2023-09-07
71,2023876755,Kwame Agyeman,STUDENT,2023-09-21
72,2023328740,Sena Adjetey,STUDENT,2023-09-25
73,2023861870,Araba Kusi,STUDENT,2023-09-03
74,2023310392,Ama Iddrisu,STUDENT,2023-09-13
75,2024960853,Efua Amoah,STUDENT,2024-09-12
76,2023941842,Ama Aidoo,STUDENT,2023-09-03
77,2025253673,Ama Obeng,STUDENT,2025-09-07
78,2024805626,Ama Appiah,STUDENT,2024-09-04
79,2023707942,Kwame Mensah,STUDENT,2023-09-14
80,2024164954,Kwame Mensah,STUDENT,2024-09-11
81,STF7404,Esi Adjei,FACULTY,2022-07-17
82,STF4281,Abena Mensah,STAFF,2017-07-15
83,STF9397,Adwoa Appiah,STAFF,2015-06-03
84,STF9262,Comfort Danso,STAFF,2020-05-09
85,STF6405,Selorm Mahama,STAFF,2023-12-12
86,STF2155,Comfort Ansah,STAFF,2020-05-16
87,STF5896,Kojo Gyasi,FACULTY,2020-04-22
88,STF4493,Akosua Alhassan,FACULTY,2016-07-19
89,STF7579,Delali Tetteh,FACULTY,2023-01-25
90,STF5516,Akosua Tetteh,FACULTY,2020-09-18
91,STF1739,Efua Fuseini,STAFF,2021-03-13
92,STF8038,Kwaku Twum,STAFF,2022-07-10
